ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
ŞRJ/5494,160,SKT/11940,DC,DC_CCS
ŞRJ/6095,300,SKT/13319,DC,DC_CCS
ŞRJ/6095,300,SKT/13320,DC,DC_CCS
ŞRJ/6095,300,SKT/13321,DC,DC_CCS
ŞRJ/6095,300,SKT/13322,DC,DC_CCS
ŞRJ/3765,22,SKT/7590,AC,AC_TYPE2
ŞRJ/3765,22,SKT/7847,AC,AC_TYPE2
ŞRJ/3765,22,SKT/7848,AC,AC_TYPE2
ŞRJ/3765,22,SKT/7849,AC,AC_TYPE2
ŞRJ/3745,22,SKT/7552,AC,AC_TYPE2
ŞRJ/3745,120,SKT/7553,DC,DC_CCS
ŞRJ/3745,120,SKT/7554,DC,DC_CCS
ŞRJ/3745,22,SKT/9028,AC,AC_TYPE2
ŞRJ/12667,60,SKT/32547,DC,DC_CCS
ŞRJ/12667,60,SKT/32548,DC,DC_CCS
ŞRJ/12667,22,SKT/32549,AC,AC_TYPE2
ŞRJ/12681,180,SKT/32581,DC,DC_CCS
ŞRJ/12681,180,SKT/32582,DC,DC_CCS
ŞRJ/12681,180,SKT/32583,DC,DC_CCS
ŞRJ/12681,180,SKT/32584,DC,DC_CCS
ŞRJ/12682,180,SKT/32585,DC,DC_CCS
ŞRJ/12682,180,SKT/32586,DC,DC_CCS
ŞRJ/12682,180,SKT/32587,DC,DC_CCS
ŞRJ/12682,180,SKT/32588,DC,DC_CCS
ŞRJ/12694,10,SKT/32626,AC,AC_TYPE2
ŞRJ/12694,10,SKT/32627,AC,AC_TYPE2
ŞRJ/12694,10,SKT/32628,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32659,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32660,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32661,AC,AC_TYPE2
ŞRJ/12696,22,SKT/32662,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32663,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32664,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32665,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32666,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32667,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32668,AC,AC_TYPE2
ŞRJ/12696,22,SKT/32669,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32670,AC,AC_TYPE2
ŞRJ/12696,22,SKT/32671,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32672,AC,AC_TYPE2
ŞRJ/12696,11,SKT/32673,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32674,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32675,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32676,AC,AC_TYPE2
ŞRJ/12697,11,SKT/32677,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32678,AC,AC_TYPE2
ŞRJ/12697,11,SKT/32679,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32680,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32681,AC,AC_TYPE2
ŞRJ/12697,11,SKT/32682,AC,AC_TYPE2
ŞRJ/12697,11,SKT/32683,AC,AC_TYPE2
ŞRJ/12697,22,SKT/32684,AC,AC_TYPE2
ŞRJ/12698,120,SKT/32685,DC,DC_CCS
ŞRJ/12698,120,SKT/32686,DC,DC_CCS
ŞRJ/7366,22,SKT/16542,AC,AC_TYPE2
ŞRJ/7366,22,SKT/16543,AC,AC_TYPE2
ŞRJ/7424,11,SKT/16703,AC,AC_TYPE2
ŞRJ/7427,22,SKT/16706,AC,AC_TYPE2
ŞRJ/7427,22,SKT/16707,AC,AC_TYPE2
ŞRJ/7428,22,SKT/16708,AC,AC_TYPE2
ŞRJ/7428,22,SKT/16774,AC,AC_TYPE2
ŞRJ/7431,22,SKT/16711,AC,AC_TYPE2
ŞRJ/7431,22,SKT/16712,AC,AC_TYPE2
ŞRJ/7431,22,SKT/16713,AC,AC_TYPE2
ŞRJ/7431,22,SKT/16714,AC,AC_TYPE2
ŞRJ/7432,22,SKT/16715,AC,AC_TYPE2
ŞRJ/7432,22,SKT/16717,AC,AC_TYPE2
ŞRJ/7432,22,SKT/16719,AC,AC_TYPE2
ŞRJ/7432,22,SKT/16720,AC,AC_TYPE2
ŞRJ/7453,22,SKT/16758,AC,AC_TYPE2
ŞRJ/7456,22,SKT/16764,AC,AC_TYPE2
ŞRJ/7489,120,SKT/16849,DC,DC_CCS
ŞRJ/7489,120,SKT/16850,DC,DC_CCS
ŞRJ/7489,22,SKT/16851,AC,AC_TYPE2
ŞRJ/7489,120,SKT/16852,DC,DC_CCS
ŞRJ/7489,120,SKT/16853,DC,DC_CCS
ŞRJ/7489,22,SKT/16855,AC,AC_TYPE2
ŞRJ/2823,22,SKT/5442,AC,AC_TYPE2
ŞRJ/2823,22,SKT/5443,AC,AC_TYPE2
ŞRJ/2823,22,SKT/5444,AC,AC_TYPE2
ŞRJ/2823,22,SKT/13023,AC,AC_TYPE2
ŞRJ/2823,22,SKT/13024,AC,AC_TYPE2
ŞRJ/2823,50,SKT/16868,DC,DC_CCS
ŞRJ/2823,22,SKT/16869,AC,AC_TYPE2
ŞRJ/7580,11,SKT/17146,AC,AC_TYPE2
ŞRJ/7602,120,SKT/17198,DC,DC_CCS
ŞRJ/7602,120,SKT/17199,DC,DC_CCS
ŞRJ/19,22,SKT/33,AC,AC_TYPE2
ŞRJ/19,22,SKT/34,AC,AC_TYPE2
ŞRJ/19,120,SKT/17228,DC,DC_CCS
ŞRJ/19,120,SKT/17229,DC,DC_CCS
ŞRJ/12,22,SKT/18,AC,AC_TYPE2
ŞRJ/12,22,SKT/19,AC,AC_TYPE2
ŞRJ/12,50,SKT/4748,DC,DC_CCS
ŞRJ/12,50,SKT/4749,DC,DC_CHADEMO
ŞRJ/12,22,SKT/4750,AC,AC_TYPE2
ŞRJ/12,120,SKT/4751,DC,DC_CCS
ŞRJ/12,120,SKT/4752,DC,DC_CCS
ŞRJ/12,120,SKT/4753,DC,DC_CCS
ŞRJ/12,120,SKT/4754,DC,DC_CCS
ŞRJ/12,120,SKT/17234,DC,DC_CCS
ŞRJ/12,120,SKT/17235,DC,DC_CCS
ŞRJ/4840,22,SKT/10262,AC,AC_TYPE2
ŞRJ/4840,22,SKT/10263,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17278,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17279,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17280,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17281,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17282,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17283,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17284,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17285,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17286,AC,AC_TYPE2
ŞRJ/7621,22,SKT/17287,AC,AC_TYPE2
ŞRJ/7619,22,SKT/17273,AC,AC_TYPE2
ŞRJ/7619,22,SKT/17274,AC,AC_TYPE2
ŞRJ/7619,22,SKT/17275,AC,AC_TYPE2
ŞRJ/7619,22,SKT/17276,AC,AC_TYPE2
ŞRJ/7623,60,SKT/17298,DC,DC_CCS
ŞRJ/7623,60,SKT/17299,DC,DC_CCS
ŞRJ/7623,60,SKT/17300,DC,DC_CCS
ŞRJ/7623,60,SKT/17301,DC,DC_CCS
ŞRJ/7624,22,SKT/17302,AC,AC_TYPE2
ŞRJ/7625,22,SKT/17303,AC,AC_TYPE2
ŞRJ/7626,22,SKT/17304,AC,AC_TYPE2
ŞRJ/7626,22,SKT/17305,AC,AC_TYPE2
ŞRJ/7626,22,SKT/17306,AC,AC_TYPE2
ŞRJ/7626,22,SKT/17307,AC,AC_TYPE2
ŞRJ/7626,180,SKT/17308,DC,DC_CCS
ŞRJ/7626,180,SKT/17309,DC,DC_CCS
ŞRJ/7626,60,SKT/17310,DC,DC_CCS
ŞRJ/7626,60,SKT/17311,DC,DC_CCS
ŞRJ/7626,60,SKT/17312,DC,DC_CCS
ŞRJ/7626,22,SKT/17313,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17320,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17321,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17322,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17323,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17324,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17325,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17326,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17327,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17328,AC,AC_TYPE2
ŞRJ/7630,22,SKT/17329,AC,AC_TYPE2
ŞRJ/7642,22,SKT/17359,AC,AC_TYPE2
ŞRJ/7642,22,SKT/17360,AC,AC_TYPE2
ŞRJ/7642,22,SKT/17361,AC,AC_TYPE2
ŞRJ/7642,22,SKT/17362,AC,AC_TYPE2
ŞRJ/7642,22,SKT/17363,AC,AC_TYPE2
ŞRJ/7643,11,SKT/17364,AC,AC_TYPE2
ŞRJ/7643,11,SKT/17365,AC,AC_TYPE2
ŞRJ/7643,11,SKT/17366,AC,AC_TYPE2
ŞRJ/7643,11,SKT/17367,AC,AC_TYPE2
ŞRJ/7643,11,SKT/17368,AC,AC_TYPE2
ŞRJ/7643,11,SKT/17369,AC,AC_TYPE2
ŞRJ/7645,11,SKT/17373,AC,AC_TYPE2
ŞRJ/7645,11,SKT/17374,AC,AC_TYPE2
ŞRJ/7645,11,SKT/17375,AC,AC_TYPE2
ŞRJ/7650,22,SKT/17403,AC,AC_TYPE2
ŞRJ/7650,22,SKT/17404,AC,AC_TYPE2
ŞRJ/7651,22,SKT/17405,AC,AC_TYPE2
ŞRJ/7651,22,SKT/17406,AC,AC_TYPE2
ŞRJ/7651,22,SKT/17407,AC,AC_TYPE2
